,name,stars,review,price,note,open_time,restautant_type,address,ward,district,city
126,Cafe Bobo,5.0,(2),None,'Dine-in',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
127,Nhậu,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
128,Ba Loi Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'Delivery','Open now',Restaurant,"79, Dinh Tien Hoang Street, Tam Thuan Ward, Thanh Khe District",Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
129,Quán Ánh Tuyết,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
130,Quán Nhậu A. Cường,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
131,Sirô Quân,None,None,None,'Dine-in';  'Takeout','Open now',Restaurant,"36F4+M72, K222 Trần Cao Vân",Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
132,Phu My Thanh Restaurant - Nhà hàng Phú Mỹ Thành,4.0,(247),None,'Dine-in','Open';  ' ⋅ Closes 9\u202fPM',Vietnamese,417 Nguyễn Tất Thành,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
133,Quán Vân,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
134,Mở bia,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
135,Cafe 1983,None,None,None,'Dine-in',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
136,Nhà hàng Sophia,4.0,(117),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 11\u202fPM',Vietnamese,527 Nguyễn Tất Thành,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
137,Bảo Trân Quán,4.5,(2),None,'Dine-in';  'Takeout',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
138,SuBo quán,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
139,Nhà Hàng Đầm Sen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thạc Gián,Quận Thanh Khê,Thành phố Đà Nẵng
140,A-Z.Kitchen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
141,Đặng Gia Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'No-contact delivery','Open';  ' ⋅ Closes 11\u202fPM',Restaurant,555 Nguyễn Tất Thành,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
142,Quán Ăn Su Bo,4.0,(2),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
143,Mr. RÂU,4.8,(18),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 12\u202fAM',Beer Garden,535 Nguyễn Tất Thành,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
144,Nha Hang Phu Mi Thanh,3.6,(7),None,'Dine-in';  'Takeout',,None,None,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
145,Mệ Xí Restaurant,None,None,None,'Dine-in',,None,None,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
146,Cafe Bobo,5.0,(2),None,'Dine-in',,None,None,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
147,Nhậu,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
148,Ba Loi Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'Delivery','Open now',Restaurant,"79, Dinh Tien Hoang Street, Tam Thuan Ward, Thanh Khe District",Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
149,Quán Ánh Tuyết,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
150,Quán Nhậu A. Cường,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
151,Sirô Quân,None,None,None,'Dine-in';  'Takeout','Open now',Restaurant,"36F4+M72, K222 Trần Cao Vân",Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
152,Phu My Thanh Restaurant - Nhà hàng Phú Mỹ Thành,4.0,(247),None,'Dine-in','Open';  ' ⋅ Closes 9\u202fPM',Vietnamese,417 Nguyễn Tất Thành,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
153,Quán Vân,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Chính Gián,Quận Thanh Khê,Thành phố Đà Nẵng
